c_textid	c_title_chn	c_title	c_title_trans	c_text_type_id	c_text_year	c_text_nh_code	c_text_nh_year	c_text_range_code	c_bibl_cat_code	c_extant	c_text_country	c_text_dy	c_source	c_pages	c_secondary_source_author	c_url_api	c_url_homepage	c_notes	c_title_alt_chn	c_created_by	c_created_date	c_modified_by	c_modified_date
68154	方塘稿略	fang tang gao lve		01					0			19	38685						load	20250613			
68155	主靜主敬會言	zhu jing zhu jing hui yan		01					0			19	38685						load	20250613			
68156	履菴集	lv an ji		01					1			19	2067						load	20250613			
68157	牛禁	niu jin		01					0			19	38685						load	20250613			
68158	鹍化草	kun hua cao		01					1			19	38685						load	20250613			
68159	伯子诗草	bo zi shi cao		01					1			19	38685						load	20250613			
68160	漱玉堂集	shu yu tang ji		01					1			19	38685						load	20250613			
68161	鐵庵集	tie an ji		01					1			19	68002						load	20250613			
68162	存笥集	cun si ji		01					1			19	68002						load	20250613			
68163	識大編	shi da bian		01					0			19	68002						load	20250613			
68164	問業紀事	wen ye ji shi		01					0			19	68002						load	20250613			
68165	聚好錄	ju hao lu		01					0			19	4565						load	20250613			
68166	筆峰稿	bi feng gao		01					1			19	4565						load	20250613			
